kategoria_en,oznaczenie_kwartalu,ocen_5
agro_industry_and_commerce,Q1-2017,3
agro_industry_and_commerce,Q1-2018,48
agro_industry_and_commerce,Q2-2017,3
agro_industry_and_commerce,Q2-2018,17
agro_industry_and_commerce,Q3-2017,5
agro_industry_and_commerce,Q3-2018,20
agro_industry_and_commerce,Q4-2017,12
air_conditioning,Q1-2017,14
air_conditioning,Q1-2018,24
air_conditioning,Q2-2017,18
air_conditioning,Q2-2018,36
air_conditioning,Q3-2017,19
air_conditioning,Q3-2018,22
air_conditioning,Q4-2016,7
air_conditioning,Q4-2017,20
art,Q1-2017,2
art,Q1-2018,14
art,Q2-2017,10
art,Q2-2018,52
art,Q3-2017,4
art,Q3-2018,23
art,Q4-2017,7
arts_and_craftmanship,Q2-2017,1
arts_and_craftmanship,Q3-2017,1
arts_and_craftmanship,Q3-2018,13
audio,Q1-2017,6
audio,Q1-2018,34
audio,Q2-2017,23
audio,Q2-2018,40
audio,Q3-2017,11
audio,Q3-2018,37
audio,Q4-2016,2
audio,Q4-2017,37
auto,Q1-2017,101
auto,Q1-2018,423
auto,Q2-2017,166
auto,Q2-2018,597
auto,Q3-2017,217
auto,Q3-2018,510
auto,Q4-2016,4
auto,Q4-2017,345
baby,Q1-2017,64
baby,Q1-2018,288
baby,Q2-2017,122
baby,Q2-2018,398
baby,Q3-2017,252
baby,Q3-2018,325
baby,Q4-2016,6
baby,Q4-2017,259
bed_bath_table,Q1-2017,210
bed_bath_table,Q1-2018,1042
bed_bath_table,Q2-2017,525
bed_bath_table,Q2-2018,1272
bed_bath_table,Q3-2017,868
bed_bath_table,Q3-2018,846
bed_bath_table,Q4-2016,4
bed_bath_table,Q4-2017,922
books_general_interest,Q1-2017,22
books_general_interest,Q1-2018,89
books_general_interest,Q2-2017,34
books_general_interest,Q2-2018,100
books_general_interest,Q3-2017,48
books_general_interest,Q3-2018,47
books_general_interest,Q4-2016,1
books_general_interest,Q4-2017,57
books_imported,Q1-2018,8
books_imported,Q2-2017,2
books_imported,Q2-2018,19
books_imported,Q3-2017,5
books_imported,Q3-2018,8
books_imported,Q4-2017,4
books_technical,Q1-2017,2
books_technical,Q1-2018,37
books_technical,Q2-2017,4
books_technical,Q2-2018,76
books_technical,Q3-2017,11
books_technical,Q3-2018,42
books_technical,Q4-2017,13
cds_dvds_musicals,Q2-2018,1
cds_dvds_musicals,Q3-2017,4
cds_dvds_musicals,Q4-2017,5
christmas_supplies,Q1-2018,17
christmas_supplies,Q2-2017,1
christmas_supplies,Q2-2018,21
christmas_supplies,Q3-2017,6
christmas_supplies,Q3-2018,9
christmas_supplies,Q4-2017,22
cine_photo,Q1-2017,1
cine_photo,Q1-2018,5
cine_photo,Q2-2017,4
cine_photo,Q2-2018,22
cine_photo,Q3-2017,1
cine_photo,Q3-2018,18
computers,Q1-2017,1
computers,Q1-2018,9
computers,Q2-2018,26
computers,Q3-2017,42
computers,Q3-2018,11
computers,Q4-2017,33
computers_accessories,Q1-2017,124
computers_accessories,Q1-2018,1041
computers_accessories,Q2-2017,394
computers_accessories,Q2-2018,877
computers_accessories,Q3-2017,543
computers_accessories,Q3-2018,609
computers_accessories,Q4-2016,7
computers_accessories,Q4-2017,567
consoles_games,Q1-2017,41
consoles_games,Q1-2018,88
consoles_games,Q2-2017,45
consoles_games,Q2-2018,71
consoles_games,Q3-2017,119
consoles_games,Q3-2018,73
consoles_games,Q4-2016,4
consoles_games,Q4-2017,184
construction_tools_construction,Q1-2017,3
construction_tools_construction,Q1-2018,87
construction_tools_construction,Q2-2017,1
construction_tools_construction,Q2-2018,183
construction_tools_construction,Q3-2017,14
construction_tools_construction,Q3-2018,185
construction_tools_construction,Q4-2017,52
construction_tools_lights,Q1-2018,11
construction_tools_lights,Q2-2018,61
construction_tools_lights,Q3-2017,3
construction_tools_lights,Q3-2018,76
construction_tools_lights,Q4-2017,7
construction_tools_safety,Q1-2017,1
construction_tools_safety,Q1-2018,11
construction_tools_safety,Q2-2018,42
construction_tools_safety,Q3-2018,25
construction_tools_safety,Q4-2017,21
cool_stuff,Q1-2017,122
cool_stuff,Q1-2018,391
cool_stuff,Q2-2017,318
cool_stuff,Q2-2018,312
cool_stuff,Q3-2017,440
cool_stuff,Q3-2018,167
cool_stuff,Q4-2016,4
cool_stuff,Q4-2017,469
costruction_tools_garden,Q1-2017,2
costruction_tools_garden,Q1-2018,40
costruction_tools_garden,Q2-2017,6
costruction_tools_garden,Q2-2018,27
costruction_tools_garden,Q3-2017,17
costruction_tools_garden,Q3-2018,28
costruction_tools_garden,Q4-2017,20
costruction_tools_tools,Q1-2018,11
costruction_tools_tools,Q2-2017,3
costruction_tools_tools,Q2-2018,25
costruction_tools_tools,Q3-2017,2
costruction_tools_tools,Q3-2018,19
costruction_tools_tools,Q4-2017,9
diapers_and_hygiene,Q2-2018,8
